	os	oRON			iRON	ibaohe	S-ZORB.AT_5201.PV	S-ZORB.FT_9302.PV	S-ZORB.FT_9401.PV	S-ZORB.FT_1001.PV	S-ZORB.TE_1001.PV	S-ZORB.TE_1105.PV	S-ZORB.PC_1603.PV	S-ZORB.FC_1201.PV	S-ZORB.TC_2801.PV	S-ZORB.TE_1101.DACA	S-ZORB.TE_1103.DACA	S-ZORB.FT_2433.DACA	S-ZORB.LT_1301.DACA	S-ZORB.TE_5002.DACA	S-ZORB.AT_1001.DACA	S-ZORB.FT_3501.DACA	S-ZORB.PDI_2301.DACA	S-ZORB.PC_2401B.DACA	S-ZORB.TE_2608.DACA	S-ZORB.PDT_2906.DACA	S-ZORB.TE_7108B.DACA	S-ZORB.PT_7107B.DACA	S-ZORB.TE_7102B.DACA	S-ZORB.SIS_FT_3202.PV	S-ZORB.TXE_2203A.DACA	S-ZORB.TXE_2202A.DACA	S-ZORB.TE_5008.DACA	S-ZORB.FC_5001.DACA
80	3.2	87.92	79	89.1	53.2	-0.1513	4451.318	111.8825	120.6128	65.953	61.964	0.06	116.3405	280.8693	132.2687	367.1481	4.4138	-1.2733	126.4801	257.3129	-0.0119	0.8412	1.539	130.2898	-0.8174	58.9691	3.1303	32.2711	167.6537	453.8332	454.3644	53.5072	1749.7563	
81	3.2	87.02	80	88	54.4	-0.176	4443.2885	108.7578	118.7069	64.0005	61.692	0.0553	117.1868	275.5051	130.9935	367.3737	5.0421	-1.2742	125.6977	248.4417	-0.0186	0.7372	1.6098	135.9923	-0.878	60.2085	3.1367	33.115	166.326	453.4138	453.5054	57.5149	1904.9267	
82	3.2	87.12	81	88.7	56.8	-0.218	4453.1566	107.9245	121.0249	65.6925	63.2213	0.0546	116.9582	273.6662	132.2825	367.6682	4.4396	-1.2785	126.33	250.7913	-0.0152	0.7831	1.5938	139.9248	-0.8727	61.3943	3.1339	32.2734	167.3769	455.3842	455.5135	56.4359	1772.8075	
83	3.2	87.72	82	89.3	56.4	-0.0623	4411.9642	108.7106	131.5149	66.635	63.7916	0.0642	131.3423	282.8639	132.6684	365.643	4.1461	-1.2753	126.6706	248.0161	-0.0243	1.0427	1.3344	145.9719	-0.8759	61.1284	3.1323	34.6147	168.5291	459.4747	459.541	53.5873	1651.4147	
84	3.2	85.82	83	87.6	56.2	-0.0799	4471.8411	108.5566	128.5586	67.2819	63.7746	0.0606	117.3183	280.1544	132.7617	363.5763	4.3202	-1.2773	126.4842	267.4374	-0.0092	0.9425	1.4914	150.2488	-0.8595	60.3541	3.1161	34.1905	166.0777	456.7083	456.6119	53.2354	1626.0091	
85	3.2	85.72	84	86.9	55.3	-0.2341	4413.4826	109.4642	121.7376	65.0512	62.6493	0.0573	117.5619	270.1174	131.1742	366.0741	4.5177	-1.2694	124.7466	278.031	-0.0203	0.8724	1.504	155.9514	-0.8665	60.4576	3.116	34.3876	168.3822	457.2182	457.1572	56.8512	1764.1259	
86	5.1	85.72	85	87.2	55.8	-0.2285	4428.4718	109.1066	45.7851	43.7584	52.3798	0.0532	121.3381	264.9683	118.9364	364.3322	4.1012	-1.272	114.1583	136.0888	-0.0171	0.8606	1.5298	170.2078	-0.9146	58.6626	3.1126	32.6593	165.0929	459.52	459.6645	75.2103	2771.2359	
87	7.7	89.62	86	90.6	52.9	6.3667	4432.186	110.7091	119.05	65.5465	61.998	0.0545	116.5343	284.6313	130.6731	360.939	4.3968	-0.5764	125.0586	320.7969	-0.0111	0.7825	1.5867	180.1874	-0.8312	59.1828	3.1181	33.0085	167.9852	462.1877	462.4595	62.4504	2197.1063	
88	3.5	88.82	87	90	53.45	-0.2236	4448.6684	109.9975	119.0746	64.3153	61.3873	0.0566	116.2108	282.8405	130.8125	366.501	4.4903	-0.6763	125.0476	310.7703	-0.0195	0.8401	1.5099	185.8899	-0.7989	58.4207	3.1154	32.1257	166.5732	464.38	464.5799	59.5593	1978.5432	
89	3.2	89.32	88	90.5	54	-0.0631	4444.5123	51.5785	117.6164	64.0268	60.1459	0.05	116.5309	280.6732	129.6852	364.1264	4.3323	-1.2669	124.5333	288.1541	-0.0192	0.8162	1.5843	190.1669	-0.8096	26.7878	0.011	25.7753	170.3568	456.1354	456.3437	61.8226	2179.3645	
90	3.2	89.52	89	90.5	53.63	0.6411	4431.8862	51.8741	122.3879	65.6243	61.6636	0.0523	116.7376	283.9644	130.1492	358.7083	4.4877	-1.2722	124.726	289.858	-0.0193	0.9127	1.4902	191.5153	-0.8534	28.4564	0.0108	27.9965	169.1383	451.3541	451.1101	61.9089	2069.663	
91	3.2	88.52	90	90.1	53.25	-0.22	4427.6906	49.7787	122.0024	66.5152	62.8135	0.0493	116.3472	282.4142	132.2726	368.5428	4.1305	-1.2749	126.4771	305.7835	-0.0103	0.8478	1.5648	194.3013	-0.8698	28.4619	0.0111	28.7883	167.7602	458.5489	458.6977	61.4044	2040.2874	
92	3.4	89.32	91	90.4	52.88	-0.1926	4428.9653	53.0484	117.214	63.3196	60.0009	0.0503	115.9353	280.0987	129.7982	366.0309	4.2553	-1.2648	124.4469	280.4229	-0.0186	0.8424	1.5143	195.8695	-0.7985	26.4437	0.0112	25.4083	166.5397	458.1615	458.5233	62.6507	2220.0333	
93	3.2	90.22	92	91.6	52.5	-0.1687	4438.8253	50.5333	117.26	63.4487	59.4378	0.0503	116.4508	281.159	130.371	370.0851	4.152	-1.2614	124.9666	287.633	-0.0123	1.0993	1.3028	200.1464	-0.7989	25.8042	0.0114	25.0807	171.6789	463.487	463.7806	60.8829	2228.8012	
94	6	90.2	93	91.5	50.45	0.1428	4468.5287	49.9155	117.3604	64.2671	60.6146	0.0472	115.8787	287.5487	130.3618	365.7566	4.1241	-1.2716	124.856	287.8284	-0.0191	0.9643	1.419	205.849	-0.8357	26.6917	0.0116	26.2405	168.2889	461.5024	461.6373	65.1358	2483.037	
95	3.2	90.2	94	91.5	48.4	-0.1003	4469.4917	46.65	117.1385	63.1699	59.9848	0.0481	117.0603	279.7119	129.4385	365.0158	4.5418	-1.2716	123.6723	283.6735	0.0048	0.7865	1.5797	210.1259	-0.7842	25.3311	0.0121	24.5599	162.688	456.0378	456.2355	63.844	2379.3855	
96	3.8	90.2	95	91.3	49.1	-0.0839	4426.371	37.2152	117.1634	64.2972	60.4273	0.0478	116.6217	281.2221	130.2854	366.7077	4.4748	-0.5929	124.3694	304.8579	-0.0224	0.8122	1.5958	215.8285	-0.7409	24.6505	0.012	23.8157	171.0058	456.9901	457.3108	63.5187	2385.5555	
97	3.2	90.3	96	91.5	49.8	-0.1494	4445.8265	43.9681	116.8987	64.1326	60.7233	0.0447	117.1806	285.5267	130.0084	363.9327	4.5362	-1.265	124.1619	302.4221	-0.0101	0.8394	1.524	218.3234	-0.7992	25.5672	0.0118	25.3389	166.9028	451.1845	451.3072	58.4981	1916.6618	
98	3.2	90.1	97	91.3	48.4	-0.0229	4452.9087	40.5381	116.7404	61.744	58.2896	0.0518	117.6566	270.5891	127.5785	361.8782	4.5166	-1.1883	121.863	306.2301	-0.019	0.8534	1.5578	220.1054	-0.7339	23.825	0.0117	22.9422	173.1811	445.4086	445.6847	61.8905	2176.1403	
99	3.2	89.9	98	91.1	49.7	-0.2221	4461.135	44.7954	117.3352	62.1899	58.6824	0.0457	116.5451	274.7081	128.9316	369.0805	4.3632	-1.2608	123.0311	277.734	-0.0194	0.8406	1.5442	227.0822	-0.7858	25.0613	0.0116	24.8628	168.5571	451.589	451.6501	61.6453	2314.1026	
100	3.2	89.7	99	91	50.05	-0.2181	4554.5676	44.7251	115.5111	62.3082	58.585	0.0491	117.539	271.1458	129.154	368.3121	4.4199	-1.2563	123.2648	266.6638	-0.0188	0.7843	1.5988	235.7876	-0.7842	23.9555	0.0117	23.308	165.2425	458.4481	458.5207	65.0389	2556.0351	
101	3.9	89.92	100	91.7	50	-0.2183	4501.1647	40.5897	116.1325	63.5612	60.7854	0.0471	116.7576	283.4202	130.7311	371.0598	4.877	-1.269	125.0605	295.3028	0.0034	0.8428	1.5299	239.9991	-0.8077	25.2458	0.0123	24.8316	163.9856	458.7435	458.7275	62.7292	2295.9779	
102	3.2	90.42	101	91.6	49.3	-0.2169	4548.8756	37.5339	114.0536	61.1278	57.9554	0.0504	118.4589	270.6357	128.569	367.6116	4.7043	-0.9019	123.2361	279.8942	-0.0154	1.0628	1.3201	245.7671	-0.7155	21.2978	0.0119	19.6313	169.2762	450.743	450.9622	59.2339	2078.565	
103	3.2	90.12	102	91.4	48.6	-0.2156	4533.7785	48.7386	113.095	60.3333	56.4986	0.0499	117.8528	271.5633	128.1731	369.1589	4.4404	-0.9366	123.0134	270.8543	-0.0034	1.0053	1.375	250.044	-0.7395	20.6095	0.0123	19.9511	170.3717	448.0997	447.9816	60.195	2216.3106	
104	4.1	90.12	103	91.2	48.45	0.1355	4542.3081	46.4938	117.1247	63.2838	60.5747	0.0527	117.542	281.5084	130.082	365.8484	4.5513	-1.2669	124.7143	318.2681	-0.008	0.7909	1.5957	255.7466	-0.8129	26.4136	0.0118	25.6759	165.7099	452.6127	452.8159	63.4336	2205.7071	
105	3.8	89.82	104	91.2	48.3	-0.1946	4526.9188	49.6264	117.7787	62.022	59.1416	0.0493	118.642	286.7563	129.2025	367.6941	4.524	-1.2034	123.8961	309.2323	-0.0243	1.0819	1.2924	260.0235	-0.7446	21.6078	0.0125	20.7867	168.9919	464.2518	464.5522	62.5291	2374.4985	
106	3.2	89.72	105	91	48.8	-0.1384	4554.8887	51.0375	128.243	65.2236	61.2919	0.0463	116.9168	289.4122	130.8988	367.3922	4.2402	-0.8183	125.4078	248.8648	-0.0132	0.8572	1.5458	265.7261	-0.7658	23.4349	0.0124	22.465	165.1941	465.9181	466.0749	61.0512	2229.0682	
107	3.2	89.52	106	91.2	49.3	-0.1659	4569.7431	39.8728	119.7004	62.865	58.996	0.0508	118.4186	285.4621	129.9401	371.1773	4.2942	-0.94	124.4506	241.9611	-0.0176	0.9695	1.4058	270.003	-0.7135	19.7764	0.013	18.893	163.077	465.336	465.5115	57.4407	2115.87	
108	4.5	88.92	107	90.6	50.4	-0.2027	4508.5889	42.2689	115.4597	61.724	58.4534	0.0464	116.3443	273.5997	128.3526	366.9424	4.0621	-1.0435	122.9463	270.9283	-0.0008	1.1329	1.2362	275.7056	-0.7085	20.8314	0.013	19.7603	167.3074	454.6998	454.9854	64.6265	2455.0138	
109	3.2	89.92	108	91.2	51.5	-0.2026	4553.6524	29.9512	118.0563	63.3266	57.3006	0.0476	115.8258	275.3945	129.2155	369.8356	4.2473	7.8061	123.7756	269.0429	-0.0187	0.8053	1.5731	279.9826	-0.6637	15.8074	0.0141	14.9615	165.9736	457.2993	457.5479	64.2073	2492.7943	
110	3.2	89.2	109	90.5	51.5	-0.1548	4537.2219	49.999	118.9094	63.4068	58.8968	0.046	117.7635	281.5043	129.1315	365.2057	4.2112	-0.9789	123.8472	584.194	-0.0179	0.8481	1.5252	285.6852	-0.6987	19.5824	0.0139	18.2948	173.4014	453.9458	454.6919	65.5949	2438.0117	
111	3.2	89.2	110	90.4	51.5	-0.1937	4549.9483	36.0786	116.1693	62.2709	57.2707	0.0462	117.0386	273.0492	128.407	366.0013	4.2567	-0.5445	123.368	259.9915	-0.0186	0.8999	1.4775	289.9621	-0.6666	16.2468	0.0138	15.2292	173.1827	450.5289	450.5972	62.9739	2371.9023	
112	3.2	89.5	111	90.9	51.6	-0.0916	4539.9755	38.7162	124.1094	67.8509	60.5152	0.0419	115.66	286.8952	131.1584	368.6891	4.364	0.2259	125.0144	297.8613	0.045	0.9212	1.4546	446.0286	-0.6093	13.7058	0.0163	11.9685	173.8962	454.5287	455.0776	62.905	2065.503	
113	3.3	89.3	112	90.5	51.6	1.1889	4499.3278	63.4541	121.5742	64.36	60.8533	0.0457	117.6778	290.5831	129.3719	367.9897	4.3534	-0.3714	123.2808	271.541	-0.0179	1.0098	1.3629	446.0286	-0.7783	22.9784	0.0142	22.0972	182.5897	469.3146	469.9499	65.0895	2063.6736	
114	3.7	89.72	113	91.3	51.6	0.8445	4505.2763	58.2842	124.1286	64.9277	60.1459	0.0407	115.567	286.5782	129.2484	364.921	4.3418	-0.3209	123.2316	260.3335	-0.0363	0.9547	1.4164	446.0286	-0.6607	16.6224	0.0155	14.8128	175.6517	456.494	456.8124	64.0534	2086.6447	
115	3.4	89.7	114	91	54.8	0.1035	4550.2268	63.3259	124.0158	65.0813	59.8673	0.0498	116.5914	283.3241	129.7591	370.7204	4.2452	0.9406	123.2105	274.0075	-0.0297	0.8601	1.5114	446.0286	-0.6088	15.0639	0.0162	13.5183	177.4768	462.7407	463.5425	62.404	1934.8904	
116	3.2	89.76	115	91	55.4	0.0101	4544.8975	57.7654	121.6341	59.2661	57.4626	0.046	118.5245	287.6635	126.6261	368.7117	4.248	1.2266	120.8225	259.5522	0.0329	0.8676	1.5087	446.0286	-0.6195	14.5426	0.0166	13.149	174.6125	459.4973	459.9872	59.905	1582.3098	
117	3.2	89.89	116	91.1	55.4	0.524	4576.8627	66.6758	122.3194	62.4683	58.4374	0.0475	117.8903	283.2984	127.729	366.0135	4.312	-0.0366	121.6303	301.8507	-0.0407	0.8459	1.535	446.0286	-0.622	15.1293	0.0166	13.1694	166.1351	466.688	467.5057	61.1573	1792.1808	
118	3.2	89.39	117	90.6	55.4	-0.054	4593.7906	74.675	123.4101	62.3086	56.8479	0.0561	116.0589	280.145	127.6689	369.7369	4.227	3.5039	121.3829	261.9679	0.0269	0.9777	1.3911	446.0286	-0.5561	10.6306	0.018	9.028	170.2754	476.4807	476.9532	59.2775	1797.418	
119	3.2	89.69	118	90.8	55.4	0.1162	4554.911	90.6193	122.0317	62.9412	59.2956	0.0488	116.1348	300.5676	128.642	368.42	4.6011	0.0403	122.2321	273.7149	-0.0125	1.0402	1.3302	446.0286	-0.6235	14.2486	0.0182	11.8821	166.0218	513.0135	513.6814	62.975	1855.9565	
120	6.5	90.3	119	91.4	54.3	0.1404	4544.6855	92.0967	121.9548	62.9393	58.6036	0.053	115.8431	292.7716	128.2272	368.6102	3.1978	-0.1571	122.1405	261.8453	-0.0105	1.1552	1.2302	446.0286	-0.5928	12.8739	0.0193	10.8865	169.9457	513.5401	513.8114	59.8213	1830.8818	
121	3.2	89	120	90.6	54.3	-0.1923	4596.7488	97.9066	126.7157	62.5153	58.3251	0.0475	117.2575	287.2914	127.7881	367.2706	4.576	-0.2257	121.8336	242.3718	0.0666	0.9889	1.3863	446.0286	-0.6181	13.3661	0.0198	11.2144	176.7543	499.4055	499.6527	61.6312	1843.1464	
122	3.2	89.2	121	90.3	54.3	0.128	4608.0035	102.8979	125.3431	60.24	56.1899	0.0514	116.9627	279.0921	126.076	366.1106	4.5585	0.0814	120.4084	311.7261	-0.0361	0.9433	1.4317	446.0286	-0.5325	8.3461	0.0227	9.278	173.9082	488.4529	488.8567	60.7283	1836.2874	
123	3.2	89.6	122	90.8	55.1	0.6267	4581.179	97.9201	124.7523	63.4205	59.4684	0.0498	116.9827	288.1022	128.561	369.4609	4.5927	-0.2373	121.7561	282.8182	0.0254	1.0504	1.326	446.0286	-0.5824	12.6121	0.0251	14.6889	178.1373	501.895	502.0502	60.7207	1805.3815	
124	3.2	88.9	123	90.1	55.1	-0.0847	4630.2926	101.7364	125.8682	63.0711	58.6552	0.0475	117.4794	288.8876	128.2313	369.9312	4.5674	3.6716	121.6755	294.8357	-0.0009	0.9581	1.4143	446.0286	-0.5515	9.9003	0.0396	14.5879	175.6744	498.3254	498.3112	60.3905	1879.5446	
125	3.2	88.9	124	90.2	56.6	0.1688	4607.2966	100.8689	132.9533	64.4148	59.5109	0.0459	117.7872	290.8666	128.8716	367.8419	4.4982	-0.0927	122.2774	273.6079	0.0143	0.9906	1.3861	446.0286	-0.5716	11.2511	0.5552	23.5279	179.808	502.6801	502.6465	60.9089	1886.198	
126	3.2	89	125	90.1	56.6	0.4681	4625.5031	101.227	134.6978	63.1955	57.4078	0.0487	117.6781	280.7027	128.0651	368.9439	4.5695	0.1458	121.7721	283.2931	0.0242	0.9341	1.4347	446.0286	-0.5142	7.6153	1.818	30.532	175.2803	493.9711	493.8415	61.355	1961.5625	
127	3.2	89	126	90.1	56.6	0.6643	4630.7666	99.9009	129.6873	64.9127	57.7762	0.0483	116.0836	283.2562	128.2909	367.6315	4.5459	1.7554	121.9541	345.3004	-0.0139	0.9511	1.4212	446.0286	-0.5355	8.3649	1.978	30.0177	176.1261	499.7461	499.5556	59.5799	1953.5082	
128	3.2	88.5	127	89.6	55.9	0.0146	4612.5714	99.3979	127.5721	62.0235	56.6495	0.0449	116.6453	276.1967	127.1798	370.4247	4.5728	1.4121	121.2803	249.5208	-0.018	0.9007	1.4758	446.0286	-0.5095	7.4169	2.1071	28.9185	174.5286	496.898	496.8972	64.5367	2206.6397	
129	3.2	88.7	128	89.6	55.9	-0.0335	4650.4894	108.3683	120.9428	62.5131	56.5524	0.0442	115.2876	275.5349	126.8974	367.1466	4.2133	3.9021	120.7533	266.9765	0.0732	1.0401	1.3362	446.0286	-0.4987	52.3511	3.0999	28.0793	181.9892	497.6544	497.973	66.19	2491.4374	
130	3.2	88.3	129	89.7	55.9	-0.1202	4641.2511	102.6474	121.6895	63.7407	57.3868	0.0441	115.4368	272.7082	127.8836	369.0871	4.4253	0.3746	121.3263	281.2572	-0.0073	0.9336	1.4379	446.0286	-0.5174	9.374	2.2514	32.0436	178.325	492.2234	492.3166	64.2135	2286.0777	
131	3.2	87.8	130	89.4	55.9	-0.0892	4639.2329	106.0737	121.7127	63.4327	58.76	0.0384	115.1817	280.9689	127.1806	364.9673	4.6877	0.7608	120.977	280.3159	-0.018	0.9859	1.3834	446.0286	-0.5161	54.2112	3.1028	30.4853	179.0518	480.1232	481.2728	68.6318	2639.4208	
132	3.2	87.59	131	89.1	55.9	-0.1854	4678.8814	107.8286	121.6849	62.4799	56.0686	0.041	114.1505	269.941	126.7834	369.8478	4.227	1.1997	120.7845	274.1648	0.0734	0.9551	1.4151	446.0286	-0.4616	50.6366	3.1265	27.454	177.6881	485.5329	486.4791	65.4152	2494.9084	
133	3.2	88.09	132	89.4	55.9	-0.153	4696.6507	111.8784	122.7257	61.52	54.7885	0.0386	114.1334	261.8852	126.5145	372.0128	4.1364	6.7391	120.615	270.3794	0.0615	0.9641	1.4141	446.0286	-0.4479	49.1861	3.119	24.8762	178.7231	478.7246	478.8754	62.3974	2291.215	
134	3.2	87.89	133	89.2	55.9	-0.1735	4585.1035	105.0343	122.8917	64.1132	59.4721	0.0374	116.4177	280.9735	128.4179	369.1036	3.7498	0.7711	122.3352	255.3054	-0.0169	0.947	1.4246	446.0286	-0.6089	55.8273	3.098	31.2201	176.7589	469.0498	469.5625	65.4623	2253.4624	
135	3.2	87.39	134	89.2	59.3	-0.1841	4637.49	104.771	121.9237	62.2418	56.4215	0.038	115.8489	270.0985	127.0684	368.2729	4.125	0.2673	121.4475	258.9073	0.036	1.0359	1.3348	446.0286	-0.5271	50.4924	3.0713	27.5	180.8518	465.4554	466.249	66.393	2400.3337	
136	3.2	87.09	135	88.6	59.3	-0.1804	4656.3299	115.7371	124.2439	64.0926	54.7595	0.0409	114.8011	267.495	127.9014	373.0786	4.0325	0.4514	122.0967	263.6918	-0.0461	0.9314	1.446	446.0286	-0.4257	47.9036	3.0733	23.9495	177.5323	474.2729	475.0662	61.1357	2342.1308	
137	3.2	87.59	136	89.1	59.3	-0.1459	4618.1069	112.3721	123.9153	63.6891	59.0094	0.0375	116.361	282.8161	127.9922	367.159	5.2044	0.0212	121.9756	227.6899	0.0323	1.0098	1.3651	446.0286	-0.5721	54.735	3.0687	31.2417	178.8154	475.3041	476.304	66.0543	2293.3499	
138	3.2	87.59	137	89.3	59.3	-0.1943	4618.2867	112.804	123.0141	63.7461	57.9346	0.0389	116.6091	281.7453	128.1216	370.4264	5.0987	-0.0883	122.2286	238.1294	0.0209	1.0447	1.3302	446.0286	-0.5472	52.8557	3.0756	29.5133	178.2161	476.3675	477.3683	64.9828	2267.4187	
139	3.2	87.59	138	88.4	59.3	-0.1838	4620.0639	113.6911	126.8837	64.4588	58.3984	0.043	116.835	280.2483	128.9343	371.9664	5.8541	0.3441	122.7551	243.0945	-0.0327	1.0933	1.2919	446.0286	-0.5342	52.7935	3.0752	29.1056	183.4348	478.8982	479.4387	62.4633	2049.949	
140	3.2	87.09	139	88.5	58.5	-0.1983	4618.1127	114.2288	125.5689	62.1613	56.0897	0.043	116.7249	273.8018	127.0563	369.1931	5.6558	0.0076	121.6531	218.9675	0.1246	0.9845	1.3853	446.0286	-0.5339	51.1803	3.0706	26.6906	174.92	471.9762	473.1206	60.6029	1989.3832	
141	3.2	86.6	140	87.6	58.5	-0.1593	4630.1816	117.1492	133.8018	66.5146	57.3082	0.0436	114.3446	273.8274	130.0797	372.6144	6.0042	0.9248	124.0901	227.919	0.1242	1.162	1.2155	446.0286	-0.4676	50.337	3.0696	26.3219	184.0246	483.3083	484.2987	59.5536	2039.6824	
142	3.2	85.1	141	85.3	58.5	-0.1794	4603.3585	108.5446	53.1588	42.6266	47.826	0.0511	118.7961	269.7847	115.5158	365.6651	5.4024	0.4737	110.9423	393.6781	0.11	1.1899	1.1794	446.0286	-0.4909	49.6133	3.0757	25.666	183.7258	484.9197	486.0145	69.6429	2482.2622	
143	3.2	87.19	142	88.7	58.9	-0.1875	4636.9857	123.4093	128.1412	61.4236	54.9537	0.0432	116.2187	263.0423	127.3779	373.6602	5.578	0.3085	121.671	223.6816	0.0461	1.1363	1.2316	446.0286	-0.4861	48.0871	3.0781	24.9746	183.9232	463.0509	463.5961	60.0259	1948.3426	
144	3.2	87.09	143	88.6	58.9	-0.1874	4611.1111	118.8065	129.6909	64.5716	56.9997	0.0419	115.9015	274.312	128.8465	372.2753	5.3918	0.9881	123.071	224.8008	0.0749	0.9842	1.3938	446.0286	-0.5184	50.9357	3.0707	27.3411	178.3091	464.6205	465.3125	62.0482	2055.2371	
145	3.5	87.49	144	88.7	58.9	-0.2001	4621.405	122.78	131.3979	63.9655	56.9909	0.0413	116.5119	268.8037	128.0362	368.25	5.4852	-0.0067	121.9567	180.1653	0.2186	1.1116	1.2641	446.0286	-0.5509	51.4537	3.0726	27.9547	181.7721	455.3072	455.8548	61.8767	1962.3401	
146	3.2	87.5	145	89	56.9	-0.2009	4649.5097	114.5061	133.6487	63.9417	56.0988	0.0393	115.9161	262.3073	128.2436	370.8597	5.697	0.2021	122.2337	169.7839	-0.0075	1.1611	1.2263	437.2791	-0.5268	50.23	3.0744	27.1506	189.4492	453.1257	453.6586	61.63	2052.5883	
147	3.2	87.19	146	88.4	56.9	-0.2017	4614.8994	119.5226	126.9708	64.2217	57.1485	0.0396	115.656	261.2137	127.8114	368.5396	5.6607	-0.0903	121.7877	165.2936	0.1818	0.9047	1.4633	426.7701	-0.5303	51.3294	3.0381	27.8706	177.17	443.5814	444.1457	64.4444	2065.8924	
148	3.2	87.3	147	88.7	56.9	-0.175	4637.5196	117.7888	124.3821	64.5402	57.8962	0.0377	110.6319	275.2676	129.2254	373.3689	5.2163	-0.0704	123.1239	175.862	0.0552	1.2462	1.1647	422.6815	-0.5532	52.1062	3.0671	29.8518	185.261	440.5044	442.0203	63.777	2106.219	
149	3.2	86.4	148	88.2	56.9	-0.1961	4641.0326	117.4121	124.5485	63.6087	55.4594	0.0373	110.0368	264.0481	128.895	374.5794	5.3445	0.743	122.9811	159.255	0.7309	1.2848	1.1241	426.9324	-0.2644	47.0896	3.0701	25.4716	185.3848	428.5184	429.9119	63.0405	2095.9377	
150	3.2	87.1	149	88.2	56.9	-0.1919	4659.2119	111.7802	123.6601	66.3866	56.3538	0.0356	108.9739	266.048	130.4112	377.744	5.4522	0.5474	124.0506	166.8514	0.4923	1.3463	1.0709	421.597	-0.2497	47.4119	3.0707	25.3189	187.8589	430.6562	432.5937	63.6038	2273.834	
151	3.2	85.99	150	87.8	56.3	-0.1893	4672.2166	116.5354	113.5808	57.5457	51.4399	0.0332	110.8735	249.8559	124.2475	373.6884	5.6419	4.0243	119.2935	226.1205	-0.0035	1.2032	1.2088	420.9387	-0.1838	43.5997	3.0743	22.4832	179.3608	425.1249	426.4193	68.1361	2591.5007	
152	3.2	86.58	151	87.9	56.3	-0.185	4579.4868	112.0175	53.0458	46.0238	49.2467	0.0387	115.2664	264.0105	118.1625	373.9062	5.5353	0.0395	113.9171	92.8069	0.0185	1.5817	0.8287	421.9266	-0.2931	49.2103	3.0701	27.2092	187.1032	445.743	446.5965	72.7927	2369.7445	
153	3.2	85.68	152	87.5	56.3	-0.1913	4588.1382	114.8237	49.0702	45.0324	48.7403	0.0386	114.7335	267.2474	118.4833	373.5363	4.7039	0.251	113.8354	95.2484	0.006	1.3181	1.09	422.9146	-0.3059	48.5214	3.0694	26.355	177.8069	442.4399	443.0947	76.9246	2516.8633	
154	3.2	87.18	153	88.6	56	0.0089	4579.2815	118.6086	49.9214	47.0362	51.0519	0.028	77.1864	268.991	119.5295	364.4446	5.7417	-0.3208	114.9036	173.4652	-0.0149	1.131	1.2206	425.3844	-0.3511	52.9622	3.0677	28.083	181.3727	449.2865	450.0944	75.6824	2051.4555	
155	3.2	87.68	154	89.1	56	-0.1478	4557.9515	120.6799	49.5376	43.2127	47.0105	0.0438	100.5977	279.8499	129.5286	389.2804	6.1408	1.2266	121.5694	138.9505	-0.0146	1.3509	1.0261	443.1066	-0.2128	47.5042	3.0709	24.1601	180.7436	448.8647	450.5385	64.0649	2067.4915	
156	3.2	88.48	155	89.8	56.8	7.3008	4541.0753	124.8993	126.573	62.875	54.1412	0.0541	110.2998	264.8932	137.7067	376.1424	4.7768	4.1439	129.9066	271.4662	0.0522	1.3269	1.0998	408.5755	-0.1653	46.5141	3.0688	23.9292	180.539	421.5896	422.5107	51.7346	1531.8232	
157	3.2	88.98	156	90.4	56.8	2.1487	4529.4453	123.8779	125.3581	64.9455	59.2706	0.0485	110.0533	282.9915	141.2288	382.983	4.9598	4.0153	131.6805	272.7142	-0.0168	1.2362	1.2026	434.8927	-0.3042	51.8985	3.0665	30.2528	178.3724	437.0342	438.1332	56.4606	1597.9648	
158	3.2	88.08	157	89.2	56.8	-0.0925	4406.1195	117.0701	127.1143	59.6837	54.3556	0.0549	111.2547	264.0263	136.8198	379.527	5.0348	0.1592	128.0189	240.4471	-0.0203	1.2077	1.2249	415.711	-0.1965	46.766	3.0703	25.8418	180.7031	425.2204	426.2155	54.0616	1587.8785	
159	3.2	88.18	158	89.4	56.3	0.4391	4416.9038	110.8623	120.5665	60.6803	56.4543	0.0541	112.6862	281.5252	138.6827	380.4089	4.7105	-0.3553	130.1753	256.0319	-0.0175	1.1692	1.258	383.53	-0.3128	51.0273	3.065	28.9962	176.8934	433.0842	433.6015	54.6701	1438.9853	
160	3.9	88.38	159	89.4	56.3	0.9093	4418.415	115.9654	124.5938	65.7707	61.3876	0.0523	111.6164	291.8641	141.1468	377.7301	4.5589	-0.4	131.8294	286.274	0.0187	1.183	1.2564	351.3491	-0.4163	56.2838	3.0639	33.8469	171.9468	439.6187	440.036	58.3333	1492.7147	
161	3.4	88.89	160	90.2	52.5	1.1604	1085.1588	107.0703	127.3251	64.3259	64.8222	0.0556	113.6378	304.9792	139.3163	377.716	4.564	-1.2626	130.6552	217.1387	-0.0111	1.2606	1.1515	425.0032	-0.0196	55.1302	3.0147	33.5172	181.7601	431.922	432.047	66.0474	1821.1228	
162	4.6	88.79	161	90	52.5	-0.0614	1073.6682	107.8103	126.771	60.8329	60.9685	0.0581	115.7773	275.1126	134.1515	365.111	4.3112	-1.2408	126.3824	196.8209	-0.0226	1.2275	1.1843	417.5971	0.0703	52.7465	3.0133	31.4622	184.1252	393.2797	393.5764	64.4327	1751.0913	
